,subj,day,mainsecond_speaker_speechcount
0,001,20180325,17434.252
1,001,20180326,19987.049
2,001,20180329,10435.32
3,002,20180331,5682.287
4,002,20180401,4611.251
5,002,20180402,2510.9049999999997
6,002,20180404,9402.109
7,002,20180405,8120.765
8,003,20200225,13353.614000000001
9,003,20200226,7241.549
10,003,20200228,7817.75
11,003,20200229,9993.612000000001
12,003,20200301,6404.153
13,004,20180322,8428.532
14,004,20180323,7007.468
15,004,20180327,8219.059
16,004,20180328,7375.339
17,004,20180329,4118.08
18,005,20180324,11916.832
19,005,20180326,7732.882
20,005,20180327,8087.865000000001
21,005,20180328,9346.377
22,005,20180329,1181.827
23,006,20180322,7039.824
24,006,20180323,3985.139
25,006,20180325,11985.579000000002
26,006,20180326,14664.086
27,006,20180327,19074.888
28,006,20180328,17342.222
29,006,20180329,5619.368
30,009,20180330,9576.059000000001
31,010,20200209,2140.2309999999998
32,010,20200211,4456.064
33,010,20200303,6934.754999999999
34,010,20200304,7402.379
35,012,20180504,5058.4220000000005
36,012,20180507,9335.839
37,012,20180509,15311.823
38,012,20180510,10303.225
39,013,20130604,9205.408
40,013,20130606,7718.2429999999995
41,014,20180504,3109.252
42,014,20180505,12206.605
43,014,20180506,6301.022
44,014,20180507,5083.641
45,014,20180508,3523.5910000000003
46,014,20180509,2901.344
47,015,20180525,20248.873
48,015,20180528,10475.779
49,015,20180530,7384.434
50,016,20130625,10455.164
51,016,20130626,10515.485
52,016,20130627,10423.765000000001
53,016,20130629,18682.658
54,016,20130630,12078.453
55,017,20180524,5096.022
56,017,20180529,14905.122
57,017,20180530,2067.581
58,018,20180628,5401.867
59,018,20180630,15833.559
60,018,20180702,11509.391
61,018,20180703,16504.575
62,018,20180705,8913.821
63,019,20130501,14111.916
64,019,20130502,7778.52
65,019,20130504,7634.007
66,019,20130505,7146.745999999999
67,020,20130501,10499.885
68,021,20130527,12150.209
69,021,20130528,11033.351
70,021,20130530,7952.411
71,021,20130531,6777.484
72,021,20130601,7869.275
73,022,20130527,16857.485
74,022,20130528,11128.09
75,022,20130530,10008.093
76,022,20130601,5594.311
77,023,20130501,17844.945
78,023,20130502,9554.182
79,023,20130503,13944.258
80,023,20130504,6071.0470000000005
81,023,20130505,11693.279
82,023,20130506,12367.315
83,024,20160501,10462.313
84,024,20160505,22334.772999999997
85,024,20160506,9593.6
86,024,20160507,13175.830999999998
87,024,20160508,8624.576000000001
88,025,20130603,17382.657
89,025,20130604,11887.729
90,025,20130605,20107.235
91,025,20130606,11273.622
92,025,20130607,15851.962
93,025,20130608,16248.240000000002
94,026,20130502,17489.857
95,026,20130506,19326.963
96,027,20080518,8093.836
97,027,20080521,2661.0029999999997
98,027,20160501,11242.45
99,028,20130501,5349.073
100,028,20130503,6201.17
101,028,20130506,3273.183
102,029,20130509,11898.603
103,029,20130513,11195.267
104,030,20130530,6939.942999999999
105,030,20130601,11135.388
106,031,20130515,8004.796
107,031,20130518,1318.065
108,032,20130612,13483.482
109,032,20130613,21214.459000000003
110,032,20130614,22392.662
111,033,20160502,9261.047999999999
